mun_mic_mes,Municipio_ID
"Alta Floresta D'OesteCacoalLeste Rondoniense",1
"Alto Alegre dos ParecisCacoalLeste Rondoniense",2
"Alto ParaísoAriquemesLeste Rondoniense",3
"Alvorada D'OesteAlvorada D'OesteLeste Rondoniense",4
"AriquemesAriquemesLeste Rondoniense",5
"BuritisPorto VelhoMadeira-Guaporé",6
"CabixiColorado do OesteLeste Rondoniense",7
"CacaulândiaAriquemesLeste Rondoniense",8
"CacoalCacoalLeste Rondoniense",9
"Campo Novo de RondôniaPorto VelhoMadeira-Guaporé",10
"Candeias do JamariPorto VelhoMadeira-Guaporé",11
"CastanheirasCacoalLeste Rondoniense",12
"CerejeirasColorado do OesteLeste Rondoniense",13
"ChupinguaiaVilhenaLeste Rondoniense",14
"Colorado do OesteColorado do OesteLeste Rondoniense",15
"CorumbiaraColorado do OesteLeste Rondoniense",16
"Costa MarquesGuajará-MirimMadeira-Guaporé",17
"CujubimPorto VelhoMadeira-Guaporé",18
"Espigão D'OesteCacoalLeste Rondoniense",19
"Governador Jorge TeixeiraJi-ParanáLeste Rondoniense",20
Guajará-MirimGuajará-MirimMadeira-Guaporé,21
"Itapuã do OestePorto VelhoMadeira-Guaporé",22
"JaruJi-ParanáLeste Rondoniense",23
"Ji-ParanáJi-ParanáLeste Rondoniense",24
"Machadinho D'OesteAriquemesLeste Rondoniense",25
"Ministro AndreazzaCacoalLeste Rondoniense",26
"Mirante da SerraJi-ParanáLeste Rondoniense",27
"Monte NegroAriquemesLeste Rondoniense",28
"Nova Brasilândia D'OesteAlvorada D'OesteLeste Rondoniense",29
"Nova MamoréPorto VelhoMadeira-Guaporé",30
"Nova UniãoJi-ParanáLeste Rondoniense",31
"Novo Horizonte do OesteCacoalLeste Rondoniense",32
"Ouro Preto do OesteJi-ParanáLeste Rondoniense",33
"ParecisVilhenaLeste Rondoniense",34
"Pimenta BuenoVilhenaLeste Rondoniense",35
"Pimenteiras do OesteColorado do OesteLeste Rondoniense",36
"Porto VelhoPorto VelhoMadeira-Guaporé",37
"Presidente MédiciJi-ParanáLeste Rondoniense",38
"Primavera de RondôniaVilhenaLeste Rondoniense",39
"Rio CrespoAriquemesLeste Rondoniense",40
"Rolim de MouraCacoalLeste Rondoniense",41
"Santa Luzia D'OesteCacoalLeste Rondoniense",42
"São Felipe D'OesteVilhenaLeste Rondoniense",43
"São Francisco do GuaporéGuajará-MirimMadeira-Guaporé",44
"São Miguel do GuaporéAlvorada D'OesteLeste Rondoniense",45
"SeringueirasAlvorada D'OesteLeste Rondoniense",46
"TeixeirópolisJi-ParanáLeste Rondoniense",47
"TheobromaJi-ParanáLeste Rondoniense",48
"UrupáJi-ParanáLeste Rondoniense",49
"Vale do AnariAriquemesLeste Rondoniense",50
"Vale do ParaísoJi-ParanáLeste Rondoniense",51
"VilhenaVilhenaLeste Rondoniense",52
"AcrelândiaRio BrancoVale do Acre",53
"Assis BrasilBrasiléiaVale do Acre",54
"BrasiléiaBrasiléiaVale do Acre",55
"BujariRio BrancoVale do Acre",56
"CapixabaRio BrancoVale do Acre",57
"Cruzeiro do SulCruzeiro do SulVale do Juruá",58
"EpitaciolândiaBrasiléiaVale do Acre",59
"FeijóTarauacáVale do Juruá",60
"JordãoTarauacáVale do Juruá",61
"Mâncio LimaCruzeiro do SulVale do Juruá",62
"Manoel UrbanoSena MadureiraVale do Acre",63
"Marechal ThaumaturgoCruzeiro do SulVale do Juruá",64
"Plácido de CastroRio BrancoVale do Acre",65
"Porto AcreRio BrancoVale do Acre",66
"Porto WalterCruzeiro do SulVale do Juruá",67
"Rio BrancoRio BrancoVale do Acre",68
"Rodrigues AlvesCruzeiro do SulVale do Juruá",69
"Santa Rosa do PurusSena MadureiraVale do Acre",70
"Sena MadureiraSena MadureiraVale do Acre",71
"Senador GuiomardRio BrancoVale do Acre",72
"TarauacáTarauacáVale do Juruá",73
"XapuriBrasiléiaVale do Acre",74
"AlvarãesTeféCentro Amazonense",75
"AmaturáAlto SolimõesSudoeste Amazonense",76
"AnamãCoariCentro Amazonense",77
"AnoriCoariCentro Amazonense",78
"ApuíMadeiraSul Amazonense",79
"Atalaia do NorteAlto SolimõesSudoeste Amazonense",80
"AutazesManausCentro Amazonense",81
"BarcelosRio NegroNorte Amazonense",82
"BarreirinhaParintinsCentro Amazonense",83
"Benjamin ConstantAlto SolimõesSudoeste Amazonense",84
"BeruriCoariCentro Amazonense",85
"Boa Vista do RamosParintinsCentro Amazonense",86
"Boca do AcreBoca do AcreSul Amazonense",87
"BorbaMadeiraSul Amazonense",88
"CaapirangaCoariCentro Amazonense",89
"CanutamaPurusSul Amazonense",90
"CarauariJuruáSudoeste Amazonense",91
"CareiroManausCentro Amazonense",92
"Careiro da VárzeaManausCentro Amazonense",93
"CoariCoariCentro Amazonense",94
"CodajásCoariCentro Amazonense",95
"EirunepéJuruáSudoeste Amazonense",96
"EnviraJuruáSudoeste Amazonense",97
"Fonte BoaAlto SolimõesSudoeste Amazonense",98
"GuajaráJuruáSudoeste Amazonense",99
"HumaitáMadeiraSul Amazonense",100
"IpixunaJuruáSudoeste Amazonense",101
"IrandubaManausCentro Amazonense",102
"ItacoatiaraItacoatiaraCentro Amazonense",103
"ItamaratiJuruáSudoeste Amazonense",104
"ItapirangaItacoatiaraCentro Amazonense",105
"JapuráJapuráNorte Amazonense",106
"JuruáJuruáSudoeste Amazonense",107
"JutaíAlto SolimõesSudoeste Amazonense",108
"LábreaPurusSul Amazonense",109
