Prod_ID,Cultura,Ano,AreaP,AreaH,Producao,Rendimento,Valor,Municipio_ID
1346922,22,2008,0,0.066,0.066,1000.0,218.0,59
1346923,22,1998,0,0.002,0.001,500.0,2.0,897
1346924,22,1991,0,0.06,0.053,883.33,0.00732363636363636,4168
1346925,22,1996,0,0.001,0.001,1000.0,1.0,3241
1346926,22,2009,0,0.026,0.023,884.62,86.0,5556
1346927,22,2001,0,0.5,0.6,1200.0,641.0,3382
1346928,22,2012,0,4.525,4.887,1080.0,31277.0,2363
1346929,22,2000,0,0.017,0.007,411.76,6.0,3652
1346930,22,2010,0,0.05,0.039,780.0,85.0,2005
1346931,22,2012,0,0.348,0.626,1798.85,4132.0,2766
1346932,22,2008,0,0.425,0.829,1950.59,2487.0,5502
1346933,22,1993,0,4.0,7.2,1800.0,274.909090909091,3334
1346934,22,1997,0,0.025,0.01,400.0,12.0,2885
1346935,22,2007,0,0.149,0.089,597.32,380.0,3750
1346936,22,2007,0,0.001,0.001,1000.0,1.0,3267
1346937,22,2001,0,0.035,0.021,600.0,26.0,183
1346938,22,1994,0,6.643,7.971,1199.91,11292.0,33
1346939,22,1999,0,0.113,0.177,1566.37,221.0,3275
1346940,22,2013,0,1.8,5.4,3000.0,25110.0,2930
1346941,22,1992,0,0.75,0.675,900.0,0.720001818181818,2428
1346942,22,2000,0,0.022,0.079,3590.91,110.0,4141
1346943,22,1992,0,0.7,0.168,240.0,0.0781963636363636,3856
1346944,22,1990,0,4.806,7.485,1557.43,0.0544363636363636,2387
1346945,22,2001,0,1.105,0.94,850.68,1278.0,3186
1346946,22,1994,0,0.75,0.525,700.0,588.0,4111
1346947,22,2013,0,12.7,24.003,1890.0,111614.0,2741
1346948,22,1993,0,0.01,0.009,900.0,0.28,2383
1346949,22,1998,0,0.001,0.001,1000.0,1.0,3907
1346950,22,2002,0,0.002,0.001,500.0,2.0,2447
1346951,22,2003,0,0.01,0.018,1800.0,4.0,3472
1346952,22,2012,0,2.718,5.3,1949.96,33403.0,2291
1346953,22,1991,0,3.3,3.96,1200.0,0.396,2730
1346954,22,1996,0,5.4,9.72,1800.0,9720.0,2932
1346955,22,2012,0,0.048,0.058,1208.33,368.0,3687
1346956,22,1997,0,0.25,0.1,400.0,200.0,1999
1346957,22,2002,0,0.063,0.038,603.17,75.0,2644
1346958,22,1996,0,0.769,1.386,1802.34,1386.0,3773
1346959,22,2016,0,0.003,0.005,1666.67,25.0,3495
1346960,22,2007,0,5.72,4.038,705.94,12760.0,2873
1346961,22,2006,0,0.28,0.168,600.0,605.0,3341
1346962,22,2008,0,0.477,0.429,899.37,1573.0,3431
1346963,22,2006,0,0.022,0.022,1000.0,70.0,4047
