Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
1,Alta Floresta D'Oeste (RO),Alta Floresta D'Oeste,1,Cacoal,Leste Rondoniense,RO,Alta Floresta D'OesteCacoalLeste Rondoniense
2,Alto Alegre dos Parecis (RO),Alto Alegre dos Parecis,1,Cacoal,Leste Rondoniense,RO,Alto Alegre dos ParecisCacoalLeste Rondoniense
3,Alto Paraíso (RO),Alto Paraíso,2,Ariquemes,Leste Rondoniense,RO,Alto ParaísoAriquemesLeste Rondoniense
4,Alvorada D'Oeste (RO),Alvorada D'Oeste,3,Alvorada D'Oeste,Leste Rondoniense,RO,Alvorada D'OesteAlvorada D'OesteLeste Rondoniense
5,Ariquemes (RO),Ariquemes,2,Ariquemes,Leste Rondoniense,RO,AriquemesAriquemesLeste Rondoniense
6,Buritis (RO),Buritis,4,Porto Velho,Madeira-Guaporé,RO,BuritisPorto VelhoMadeira-Guaporé
7,Cabixi (RO),Cabixi,5,Colorado do Oeste,Leste Rondoniense,RO,CabixiColorado do OesteLeste Rondoniense
8,Cacaulândia (RO),Cacaulândia,2,Ariquemes,Leste Rondoniense,RO,CacaulândiaAriquemesLeste Rondoniense
9,Cacoal (RO),Cacoal,1,Cacoal,Leste Rondoniense,RO,CacoalCacoalLeste Rondoniense
10,Campo Novo de Rondônia (RO),Campo Novo de Rondônia,4,Porto Velho,Madeira-Guaporé,RO,Campo Novo de RondôniaPorto VelhoMadeira-Guaporé
11,Candeias do Jamari (RO),Candeias do Jamari,4,Porto Velho,Madeira-Guaporé,RO,Candeias do JamariPorto VelhoMadeira-Guaporé
12,Castanheiras (RO),Castanheiras,1,Cacoal,Leste Rondoniense,RO,CastanheirasCacoalLeste Rondoniense
13,Cerejeiras (RO),Cerejeiras,5,Colorado do Oeste,Leste Rondoniense,RO,CerejeirasColorado do OesteLeste Rondoniense
14,Chupinguaia (RO),Chupinguaia,6,Vilhena,Leste Rondoniense,RO,ChupinguaiaVilhenaLeste Rondoniense
15,Colorado do Oeste (RO),Colorado do Oeste,5,Colorado do Oeste,Leste Rondoniense,RO,Colorado do OesteColorado do OesteLeste Rondoniense
